filename	fyear
0000002034-00-000006.txt	2000
0000002034-95-000005.txt	1995
0000002034-96-000004.txt	1996
0000002034-97-000005.txt	1997
0000002034-98-000003.txt	1998
0000002034-99-000008.txt	1999
0000002070-95-000017.txt	1995
0000002070-96-000011.txt	1996
0000002070-97-000068.txt	1997
0000002070-98-000034.txt	1998
0000002070-99-000030.txt	1999
0000002098-96-000003.txt	1995
0000002178-05-000008.txt	2004
0000002178-06-000013.txt	2005
0000812011-05-000035.txt	2005
0000812011-06-000034.txt	2006
0000812011-07-000054.txt	2007
0000812011-08-000026.txt	2008
0000812011-09-000030.txt	2009
0000812011-10-000020.txt	2010
0000812011-12-000017.txt	2012
0000812011-13-000029.txt	2013
0000812011-14-000019.txt	2014
0000812011-15-000051.txt	2015
0000812011-16-000115.txt	2016
0000812076-00-000011.txt	2000
0000812076-01-500006.txt	2001
0000812076-02-000014.txt	2002
0000812076-04-000028.txt	2004
0000812076-05-000024.txt	2005
0000812076-07-000024.txt	2007
0000812076-97-000007.txt	1997
0000812076-98-000007.txt	1998
0000812076-99-000005.txt	1999
0000812128-00-000005.txt	1999
0000812128-01-000016.txt	2000
0000812128-01-500086.txt	2001
0000812128-02-000155.txt	2002
0000812128-15-000014.txt	2015
0000812128-16-000024.txt	2016
0000812128-95-000006.txt	1994
0000812128-96-000005.txt	1995
0000812128-98-000008.txt	1997
0000812128-99-000004.txt	1998
0000812191-00-000002.txt	1999
0000812191-02-000003.txt	2001
0000812191-03-000006.txt	2002
0000812191-04-000024.txt	2003
0000812191-06-000017.txt	2005
0000812191-07-000023.txt	2006
0000812191-08-000023.txt	2008
0000812191-09-000021.txt	2008
0000812191-10-000012.txt	2009
0000812191-11-000052.txt	2010
0000812191-97-000005.txt	1996
0000812191-98-000004.txt	1997
0000002178-07-000008.txt	2006
0000002601-97-000020.txt	1997
0000003292-99-000008.txt	1998
0000003453-06-000008.txt	2005
0000003545-03-000041.txt	2003
0000003673-95-000030.txt	1994
0000003753-99-000005.txt	1998
0000004281-97-000001.txt	1996
0000004457-07-000011.txt	2007
0000004507-95-000011.txt	1995
0000004904-08-000022.txt	2007
0000004911-95-000015.txt	1995
0000005907-95-000026.txt	1994
0000812310-96-000012.txt	1995
0000812310-97-000002.txt	1996
0000812700-94-000019.txt	1994
0000812700-96-000015.txt	1996
0000812700-97-000020.txt	1997
0000812708-00-000008.txt	1999
0000812708-01-500007.txt	2000
0000812708-02-000004.txt	2001
0000812708-03-000014.txt	2002
0000812708-95-000003.txt	1994
0000812708-96-000003.txt	1995
0000812708-97-000002.txt	1996
0000812708-98-000002.txt	1997
0000812708-99-000002.txt	1998
0000812788-97-000008.txt	1996
0000813298-95-000061.txt	1995
0000813347-98-000002.txt	1997
0000813347-98-000002.txt.1	1997
0000813471-96-000003.txt	1995
0000813621-00-000002.txt	1999
0000813621-01-000001.txt	2000
0000813621-96-000010.txt	1995
0000813621-97-000001.txt	1996
0000813621-98-000006.txt	1997
0000813621-99-000002.txt	1998
0000813672-13-000007.txt	2012
0000813672-14-000008.txt	2013
0000813672-15-000008.txt	2015
0000813762-12-000008.txt	2011
0000813762-13-000018.txt	2012
0000813762-14-000014.txt	2013
0000813762-15-000011.txt	2014
0000813762-16-000057.txt	2015
0000813779-07-000003.txt	2006
0000813779-07-000003.txt.1	2006
0000813779-08-000013.txt	2007
0000813779-08-000013.txt.1	2007
0000813779-09-000025.txt	2008
0000813779-09-000025.txt.1	2008
0000813779-10-000010.txt	2009
0000813779-10-000010.txt.1	2009
0000813779-12-000011.txt	2011
0000813779-13-000005.txt	2012
0000813779-13-000005.txt.1	2012
0000813781-13-000016.txt	2013
0000813828-15-000009.txt	2014
0000813828-15-000009.txt.1	2014
0000813828-15-000009.txt.2	2014
0000813828-16-000065.txt	2015
0000813828-16-000065.txt.1	2015
0000813828-16-000065.txt.2	2015
0000813895-95-000006.txt	1995
0000813895-96-000030.txt	1996
0000813895-97-000017.txt	1997
0000813895-98-000021.txt	1998
0000813920-00-000001.txt	2000
0000813920-03-000031.txt	2002
0000813920-04-000026.txt	2003
0000813920-05-000051.txt	2005
0000813920-06-000040.txt	2006
0000813920-10-000022.txt	2010
0000813920-11-000011.txt	2011
0000813920-14-000015.txt	2013
0000813920-95-000002.txt	1994
0000813920-96-000001.txt	1995
0000813920-97-000001.txt	1996
0000813920-98-000001.txt	1998
0000813920-99-000001.txt	1999
0000814068-06-000012.txt	2005
0000814430-94-000011.txt	1994
0000814430-96-000012.txt	1996
0000814430-97-000012.txt	1997
0000814430-98-000006.txt	1998
0000814453-12-000054.txt	2011
0000814453-13-000036.txt	2012
0000814453-14-000038.txt	2013
0000814453-15-000041.txt	2014
0000814453-16-000176.txt	2015
0000814547-14-000011.txt	2014
0000814547-15-000019.txt	2015
0000814547-16-000035.txt	2016
0000814549-12-000006.txt	2011
0000814549-13-000004.txt	2012
0000814549-14-000007.txt	2013
0000814549-16-000040.txt	2015
0000814580-95-000003.txt	1995
0000814580-96-000003.txt	1996
0000814580-97-000009.txt	1997
0000814677-94-000002.txt	1993
0000814677-95-000010.txt	1994
0000814677-96-000001.txt	1995
0000814677-97-000002.txt	1996
0000814677-98-000001.txt	1997
0000814677-99-000002.txt	1998
0000815097-00-000001.txt	1999
0000815097-01-000003.txt	2000
0000815097-02-000012.txt	2001
0000815097-03-000005.txt	2002
0000815097-15-000007.txt	2014
0000815097-15-000007.txt.1	2014
0000815097-16-000030.txt	2015
0000815097-16-000030.txt.1	2015
0000815097-97-000001.txt	1996
0000815097-98-000005.txt	1997
0000815097-99-000003.txt	1998
0000815556-13-000013.txt	2012
0000815556-14-000016.txt	2013
0000815556-15-000014.txt	2014
0000815556-16-000087.txt	2015
0000815910-00-000005.txt	1999
0000815910-01-000010.txt	2000
0000815910-02-000014.txt	2001
0000815910-03-000007.txt	2002
0000815910-04-000041.txt	2003
0000815910-06-000032.txt	2005
0000815910-97-000008.txt	1996
0000815910-98-000002.txt	1997
0000815910-99-000002.txt	1998
0000816151-95-000009.txt	1994
0000816151-96-000003.txt	1995
0000816151-97-000005.txt	1996
0000816151-98-000019.txt	1997
0000816151-99-000003.txt	1998
0000816761-15-000008.txt	2014
0000816761-16-000045.txt	2015
0000816956-12-000007.txt	2011
0000816956-13-000003.txt	2012
0000816956-14-000003.txt	2013
0000816956-16-000013.txt	2015
0000817161-04-000010.txt	2003
0000817979-12-000025.txt	2011
0000817979-12-000025.txt.1	2011
0000817979-14-000008.txt	2013
0000817979-14-000008.txt.1	2013
0000817979-15-000010.txt	2014
0000817979-15-000010.txt.1	2014
0000818033-00-000002.txt	1999
0000818033-00-000002.txt.1	1999
0000818033-01-500004.txt	2000
0000818033-01-500004.txt.1	2000
0000818033-02-000003.txt	2001
0000818033-02-000003.txt.1	2001
0000818033-04-000012.txt.1	2003
0000818033-98-000006.txt	1997
0000818033-98-000006.txt.1	1997
0000818033-99-000012.txt	1998
0000818033-99-000012.txt.1	1998
0000818479-00-000004.txt	1999
0000818479-01-000004.txt	2000
0000818479-02-000002.txt	2001
0000818479-03-000008.txt	2002
0000818479-04-000031.txt	2003
0000818479-05-000019.txt	2004
0000818479-06-000014.txt	2005
0000818479-07-000017.txt	2006
0000818479-08-000032.txt	2007
0000818479-13-000008.txt	2012
0000818479-14-000004.txt	2013
0000818479-15-000005.txt	2014
0000818479-16-000056.txt	2015
0000818479-96-000004.txt	1995
0000818479-97-000002.txt	1996
0000818479-98-000005.txt	1997
0000818479-99-000003.txt	1998
0000818674-96-000002.txt	1995
0000818674-97-000006.txt	1996
0000818674-98-000008.txt	1997
0000818674-99-000005.txt	1998
0000818968-96-000011.txt	1996
0000818968-97-000006.txt	1997
0000818968-99-000015.txt	1999
0000819527-99-000007.txt	1999
0000819689-08-000005.txt	2007
0000819689-11-000005.txt	2010
0000819689-15-000024.txt	2014
0000819689-16-000096.txt	2015
0000819977-96-000007.txt	1995
0000819977-97-000001.txt	1996
0000819977-98-000003.txt	1997
0000819977-99-000004.txt	1998
0000820318-00-000055.txt	2000
0000820318-01-500018.txt	2001
0000820318-02-000013.txt	2002
0000820318-03-000022.txt	2003
0000820318-97-000020.txt	1997
0000820318-98-000014.txt	1998
0000820318-99-000010.txt	1999
0000820626-00-000002.txt	1999
0000820626-01-500004.txt	2000
0000820626-02-000010.txt	2001
0000820626-03-000034.txt	2002
0000820626-04-000049.txt	2003
0000820626-94-000032.txt	1994
0000820626-95-000020.txt	1995
0000820626-96-000021.txt	1996
0000820626-97-000029.txt	1997
0000820626-98-000005.txt	1997
0000820626-99-000009.txt	1998
0000820736-11-000017.txt	2010
0000820736-12-000022.txt	2011
0000820736-13-000011.txt	2012
0000820736-14-000017.txt	2013
0000820736-95-000007.txt	1994
0000820756-95-000041.txt	1995
0000820756-96-000019.txt	1996
0000820774-97-000006.txt	1996
0000820774-98-000003.txt	1997
0000820957-95-000022.txt	1995
0000821020-96-000002.txt	1995
0000821026-13-000005.txt	2012
0000821026-14-000008.txt	2013
0000821026-15-000013.txt	2014
0000821026-97-000002.txt	1996
0000821026-98-000001.txt	1997
0000821026-99-000002.txt	1998
0000821130-14-000009.txt	2013
0000821130-15-000010.txt	2014
0000821130-16-000050.txt	2015
0000821189-01-500007.txt	2000
0000821189-02-000013.txt	2001
0000821189-03-000097.txt	2002
0000821189-04-000070.txt	2003
0000821189-05-000054.txt	2004
0000821189-06-000040.txt	2005
0000821189-07-000056.txt	2006
0000821189-08-000042.txt	2007
0000821189-10-000011.txt	2009
0000821189-11-000022.txt	2010
0000821189-12-000014.txt	2011
0000821189-13-000014.txt	2012
0000821189-14-000007.txt	2013
0000821189-15-000010.txt	2014
0000821189-16-000054.txt	2015
0000821530-96-000006.txt	1995
0000821530-97-000009.txt	1996
0000821572-03-000002.txt	2002
0000821572-04-000001.txt	2003
0000821995-12-000022.txt	2011
0000822416-12-000010.txt	2011
0000822416-13-000006.txt	2012
0000822416-15-000007.txt	2014
0000822416-16-000048.txt	2015
0000822663-04-000023.txt	2003
0000822818-14-000004.txt	2013
0000822818-15-000003.txt	2014
0000822818-16-000033.txt	2015
0000823094-13-000005.txt	2012
0000823094-14-000008.txt	2013
0000823094-15-000013.txt	2014
0000823094-16-000080.txt	2015
0000823560-02-000004.txt	2002
0000823560-03-000014.txt	2003
0000823560-04-000025.txt	2004
0000823560-05-000008.txt	2005
0000823560-07-000006.txt	2007
0000823560-08-000005.txt	2008
0000823560-09-000004.txt	2009
0000824142-14-000015.txt	2013
0000824142-15-000014.txt	2014
0000824142-16-000118.txt	2015
0000825410-13-000016.txt	2013
0000825410-15-000006.txt	2014
0000825410-15-000056.txt	2015
0000825410-16-000188.txt	2016
0000825410-96-000002.txt	1995
0000825410-96-000010.txt	1996
0000825410-97-000006.txt	1997
0000825410-98-000017.txt	1998
0000825411-00-500003.txt	2000
0000825411-01-500009.txt	2001
0000825411-02-000013.txt	2002
0000825411-03-000016.txt	2003
0000825411-04-000013.txt	2004
0000825411-05-000029.txt	2005
0000825411-06-000027.txt	2006
0000825411-07-000032.txt	2007
0000825411-08-000031.txt	2008
0000825411-09-000021.txt	2009
0000825411-10-000023.txt	2010
0000825411-11-000027.txt	2011
0000825411-12-000026.txt	2012
0000825411-13-000026.txt	2013
0000825411-96-000010.txt	1996
0000825411-97-000007.txt	1997
0000825411-98-000011.txt	1998
0000825411-99-000011.txt	1999
0000826490-94-000014.txt	1994
0000826619-95-000002.txt	1994
0000826619-96-000003.txt	1995
0000826619-97-000005.txt	1996
0000826619-98-000018.txt	1997
0000826821-97-000012.txt	1997
0000826821-98-000003.txt	1998
0000826821-99-000006.txt	1999
0000827052-00-000050.txt	1999
0000827052-01-000036.txt	2000
0000827052-03-000030.txt	2002
0000827052-04-000042.txt	2003
0000827052-05-000050.txt	2004
0000827052-06-000030.txt	2005
0000827052-12-000013.txt	2011
0000827052-13-000024.txt	2012
0000827052-14-000030.txt	2013
0000827052-15-000035.txt	2014
0000827052-16-000222.txt	2015
0000827052-95-000019.txt	1994
0000827052-96-000030.txt	1995
0000827052-97-000024.txt	1996
0000827052-98-000033.txt	1997
0000827052-99-000048.txt	1998
0000827054-08-000120.txt	2008
0000827054-09-000103.txt	2009
0000827054-11-000157.txt	2011
0000827054-12-000170.txt	2012
0000827054-13-000171.txt	2013
0000827054-14-000140.txt	2014
0000827054-15-000103.txt	2015
0000827056-00-000006.txt	1999
0000827056-04-000009.txt	2003
0000827056-05-000003.txt	2004
0000827056-06-000022.txt	2005
0000827056-07-000019.txt	2006
0000827056-98-000006.txt	1997
0000827056-99-000010.txt	1998
0000827187-13-000017.txt	2012
0000827187-14-000022.txt	2013
0000827187-15-000011.txt	2015
0000827187-16-000073.txt	2016
0000827871-16-000049.txt	2015
0000828119-02-000015.txt	2002
0000828828-96-000003.txt	1996
0000828828-97-000006.txt	1997
0000829224-12-000007.txt	2012
0000829224-13-000044.txt	2013
0000829224-14-000041.txt	2014
0000829224-15-000038.txt	2015
0000829224-16-000083.txt	2016
0000829323-16-000064.txt	2015
0000829444-96-000002.txt	1995
0000829444-97-000003.txt	1996
0000829444-98-000004.txt	1997
0000829444-99-000005.txt	1998
0000829549-00-000009.txt	1999
0000829549-01-000008.txt	2000
0000829549-02-000018.txt	2001
0000829549-97-000005.txt	1996
0000829549-98-000008.txt	1997
0000829549-99-000003.txt	1998
0000829987-99-000004.txt	1998
0000830104-99-000011.txt	1999
0000830158-00-000003.txt	1999
0000830158-01-500004.txt	2000
0000818479-09-000034.txt	2008
0000818968-98-000012.txt	1998
0000820318-96-000020.txt	1996
0000820736-10-000007.txt	2009
0000821026-16-000068.txt	2015
0000821189-09-000008.txt	2008
0000822416-14-000010.txt	2013
0000823560-06-000014.txt	2006
0000825410-99-000021.txt	1999
0000825411-95-000012.txt	1995
0000827052-02-000011.txt	2001
0000827054-07-000095.txt	2007
