cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
1000683	1996	0000950115-97-000409.txt	10-K	BLONDER TONGUE LABORATORIES	1997-03-27	https://www.sec.gov/Archives/edgar/data/1000683/0000950115-97-000409.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	13514	3663	36.165	8.75	8.194
1000683	1997	0000950115-98-000571.txt	10-K	BLONDER TONGUE LABORATORIES	1998-03-30	https://www.sec.gov/Archives/edgar/data/1000683/0000950115-98-000571.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	13879	3663	42.272	14.18699932	8.233
1000683	1998	0000950115-99-000451.txt	10-K405	BLONDER TONGUE LABORATORIES	1999-03-30	https://www.sec.gov/Archives/edgar/data/1000683/0000950115-99-000451.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	14244	3663	69.651	6.625	8.289
1000683	1999	0000950115-00-000435.txt	10-K	BLONDER TONGUE LABORATORIES	2000-03-30	https://www.sec.gov/Archives/edgar/data/1000683/0000950115-00-000435.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	14609	3663	66.076	5	7.561
1000683	2000	0000950116-01-000523.txt	10-K	BLONDER TONGUE LABORATORIES	2001-03-29	https://www.sec.gov/Archives/edgar/data/1000683/0000950116-01-000523.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	14975	3663	62.834	3.125	7.613
1000683	2001	0000930413-02-001098.txt	10-K	BLONDER TONGUE LABORATORIES	2002-03-28	https://www.sec.gov/Archives/edgar/data/1000683/0000930413-02-001098.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	15340	3663	64.386	3.69	7.613
1000683	2003	0001177456-04-000098.txt	10-K	BLONDER TONGUE LABORATORIES	2004-03-30	https://www.sec.gov/Archives/edgar/data/1000683/0001177456-04-000098.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	16070	3663	47.99	3.21	7.996
1000683	2004	0000950159-05-000451.txt	10-K	BLONDER TONGUE LABORATORIES	2005-04-15	https://www.sec.gov/Archives/edgar/data/1000683/0000950159-05-000451.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	16436	3663	38.156	4.31	8.016
1000683	2010	0001307942-11-000013.txt	10-K	BLONDER TONGUE LABORATORIES	2011-03-21	https://www.sec.gov/Archives/edgar/data/1000683/0001307942-11-000013.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	18627	3663	26.612	2.0999	6.199
1000683	2014	0001144204-15-019829.txt	10-K	BLONDER TONGUE LABORATORIES	2015-03-31	https://www.sec.gov/Archives/edgar/data/1000683/0001144204-15-019829.txt	061712	BLONDER TONGUE LABS INC	093698108	BDR	12	20088	3663	21.244	2.69	6.263
1001082	1996	0000912057-97-011329.txt	10-K405	ECHOSTAR COMMUNICATIONS	1997-03-31	https://www.sec.gov/Archives/edgar/data/1001082/0000912057-97-011329.txt	060900	DISH NETWORK CORP	25470M109	DISH	12	13514	3663	1141.38	22	40.92
1006269	1997	0000950123-98-003250.txt	10-K	LORAL SPACE & COMMUNICATIONS	1998-03-31	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-98-003250.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	13879	3663	3004.936	21.43699646	200.85
1006269	1998	0000950123-99-002897.txt	10-K	LORAL SPACE & COMMUNICATIONS	1999-03-31	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-99-002897.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	14244	3663	5229.215	17.8125	243.688
1006269	1999	0000950123-00-003001.txt	10-K	LORAL SPACE & COMMUNICATIONS	2000-03-30	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-00-003001.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	14609	3663	5610.421	24.3125	245.03
1006269	2000	0000950123-01-002993.txt	10-K	LORAL SPACE & COMMUNICATIONS	2001-04-02	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-01-002993.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	14975	3663	4678.318	3.1875	298.149
1006269	2001	0000950123-02-003213.txt	10-K	LORAL SPACE & COMMUNICATIONS	2002-03-29	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-02-003213.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	15340	3663	4389.929	2.99	336.615
1006269	2005	0000950123-06-003801.txt	10-K	LORAL SPACE & COMMUNICATIONS	2006-03-28	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-06-003801.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	16801	3663	1678.977	28.28	20
1006269	2006	0000950123-07-003927.txt	10-K	LORAL SPACE & COMMUNICATIONS	2007-03-15	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-07-003927.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	17166	3663	1729.911	40.72	20
1006269	2007	0000950123-08-004856.txt	10-K	LORAL SPACE & COMMUNICATIONS	2008-04-29	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-08-004856.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	17531	3663	1702.939	34.25	20.293
1006269	2008	0000950123-09-004762.txt	10-K	LORAL SPACE & COMMUNICATIONS	2009-03-16	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-09-004762.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	17897	3663	995.867	14.53	29.793
1006269	2009	0000950123-10-024702.txt	10-K	LORAL SPACE & COMMUNICATIONS	2010-03-15	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-10-024702.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	18262	3663	1253.452	31.61	29.897
1006269	2010	0000950123-11-025650.txt	10-K	LORAL SPACE & COMMUNICATIONS	2011-03-15	https://www.sec.gov/Archives/edgar/data/1006269/0000950123-11-025650.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	18627	3663	1754.909	76.5	30.431
1006269	2011	0001193125-12-086547.txt	10-K	LORAL SPACE & COMMUNICATIONS	2012-02-29	https://www.sec.gov/Archives/edgar/data/1006269/0001193125-12-086547.txt	062640	LORAL SPACE & COMMUNICATIONS	543881106	LORL	12	18992	3663	1836.153	64.88	30.599
1009675	1996	0001009675-96-000008.txt	10-K	SAWTEK INC	1996-11-08	https://www.sec.gov/Archives/edgar/data/1009675/0001009675-96-000008.txt	062738	SAWTEK INC	805468105	SAWS	9	13422	3663	74.594	26	19.854
1009675	1997	0001009675-97-000015.txt	10-K	SAWTEK INC	1997-11-12	https://www.sec.gov/Archives/edgar/data/1009675/0001009675-97-000015.txt	062738	SAWTEK INC	805468105	SAWS	9	13787	3663	119.572	46.25	20.762
1009675	1998	0001009675-98-000017.txt	10-K	SAWTEK INC	1998-11-10	https://www.sec.gov/Archives/edgar/data/1009675/0001009675-98-000017.txt	062738	SAWTEK INC	805468105	SAWS	9	14152	3663	148.71	14.125	20.949
1009675	1999	0001009675-99-000008.txt	10-K	SAWTEK INC	1999-11-05	https://www.sec.gov/Archives/edgar/data/1009675/0001009675-99-000008.txt	062738	SAWTEK INC	805468105	SAWS	9	14517	3663	191.579	35	42.23
