cik	formtype	companyname	filingdate	url
2070	10-K	ACME ELECTRIC	1998-09-28	https://www.sec.gov/Archives/edgar/data/2070/0000002070-98-000034.txt
2070	10-K	ACME ELECTRIC	1996-09-27	https://www.sec.gov/Archives/edgar/data/2070/0000002070-96-000011.txt
2070	10-K	ACME ELECTRIC	1995-09-28	https://www.sec.gov/Archives/edgar/data/2070/0000002070-95-000017.txt
2070	10-K	ACME ELECTRIC	1997-09-26	https://www.sec.gov/Archives/edgar/data/2070/0000002070-97-000068.txt
2070	10-K405	ACME ELECTRIC	1999-09-28	https://www.sec.gov/Archives/edgar/data/2070/0000002070-99-000030.txt
2070	10-K	ACME ELECTRIC	2000-09-29	https://www.sec.gov/Archives/edgar/data/2070/0000941157-00-500008.txt
2186	10-K	RELM WIRELESS	1998-04-15	https://www.sec.gov/Archives/edgar/data/2186/0000950115-98-000727.txt
2186	10-K	RELM WIRELESS	2004-03-19	https://www.sec.gov/Archives/edgar/data/2186/0001116502-04-000629.txt
2186	10-K	RELM WIRELESS	2006-03-14	https://www.sec.gov/Archives/edgar/data/2186/0001116502-06-000549.txt
2186	10-K	RELM WIRELESS	2015-03-04	https://www.sec.gov/Archives/edgar/data/2186/0001354488-15-000960.txt
2186	10-K	ADAGE	1996-04-01	https://www.sec.gov/Archives/edgar/data/2186/0000950115-96-000322.txt
2186	10-K	RELM WIRELESS	2010-03-04	https://www.sec.gov/Archives/edgar/data/2186/0001116502-10-000192.txt
2186	10-K	RELM WIRELESS	2003-04-11	https://www.sec.gov/Archives/edgar/data/2186/0001116502-03-000641.txt
2186	10-K	RELM WIRELESS	2011-03-02	https://www.sec.gov/Archives/edgar/data/2186/0001354488-11-000702.txt
2186	10-K405	ADAGE	1997-04-15	https://www.sec.gov/Archives/edgar/data/2186/0000950115-97-000576.txt
2186	10-K405	RELM WIRELESS	1999-03-31	https://www.sec.gov/Archives/edgar/data/2186/0000950115-99-000457.txt
2186	10-K	RELM WIRELESS	2009-03-09	https://www.sec.gov/Archives/edgar/data/2186/0001116502-09-000348.txt
2186	10-K	RELM WIRELESS	2005-03-25	https://www.sec.gov/Archives/edgar/data/2186/0001116502-05-000524.txt
2186	10-K	RELM WIRELESS	2013-03-05	https://www.sec.gov/Archives/edgar/data/2186/0001354488-13-000998.txt
2186	10-K	RELM WIRELESS	2012-03-06	https://www.sec.gov/Archives/edgar/data/2186/0001354488-12-001013.txt
2186	10-K405	RELM WIRELESS	2000-03-30	https://www.sec.gov/Archives/edgar/data/2186/0000950115-00-000461.txt
2186	10-K	RELM WIRELESS	2008-03-05	https://www.sec.gov/Archives/edgar/data/2186/0001116502-08-000360.txt
2186	10-K	RELM WIRELESS	2007-03-07	https://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000444.txt
2186	10-K405	RELM WIRELESS	2002-03-25	https://www.sec.gov/Archives/edgar/data/2186/0001116502-02-000331.txt
2186	10-K	RELM WIRELESS	2014-03-05	https://www.sec.gov/Archives/edgar/data/2186/0001354488-14-001005.txt
2186	10-K	RELM WIRELESS	2016-03-02	https://www.sec.gov/Archives/edgar/data/2186/0001354488-16-006435.txt
2186	10-K405	RELM WIRELESS	2001-04-02	https://www.sec.gov/Archives/edgar/data/2186/0001021408-01-001990.txt
2488	10-K405	ADVANCED MICRO DEVICES	1998-03-03	https://www.sec.gov/Archives/edgar/data/2488/0001012870-98-000595.txt
2488	10-K	ADVANCED MICRO DEVICES	1999-03-29	https://www.sec.gov/Archives/edgar/data/2488/0001012870-99-000892.txt
2488	10-K405	ADVANCED MICRO DEVICES	2001-03-20	https://www.sec.gov/Archives/edgar/data/2488/0001012870-01-001228.txt
2488	10-K	ADVANCED MICRO DEVICES	2010-02-19	https://www.sec.gov/Archives/edgar/data/2488/0001193125-10-035218.txt
2488	10-K	ADVANCED MICRO DEVICES	2009-02-24	https://www.sec.gov/Archives/edgar/data/2488/0001193125-09-036235.txt
