cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
949573	1996	0000950124-97-001977.txt	10-K405	PHARMACIA & UPJOHN	1997-03-31	https://www.sec.gov/Archives/edgar/data/949573/0000950124-97-001977.txt	11040	PHARMACIA & UPJOHN INC	716941109	PNU.1	12	13514	2834	11173	39.625	508.283
895380	1996	0001021408-97-000118.txt	10-K	DIAMETRICS MEDICAL	1997-03-31	https://www.sec.gov/Archives/edgar/data/895380/0001021408-97-000118.txt	28691	ALLEGRO BIODIESEL CORP	017486101	ABDS	12	13514	3845	24.059	4.375	15.209
913270	1996	0000950144-96-007392.txt	10-K405	CMC INDUSTRIES	1996-10-29	https://www.sec.gov/Archives/edgar/data/913270/0000950144-96-007392.txt	29350	CMC INDUSTRIES INC	125708107	CMCI.	7	13361	3661	67.434	5.875	6.663
931583	1996	0000950129-97-001086.txt	10-K405	ENRON GLOBAL POWER & PIPELINES	1997-03-19	https://www.sec.gov/Archives/edgar/data/931583/0000950129-97-001086.txt	30992	ENRON GLOBAL PWR & PIPELINES	29356M100	EPP.1	12	13514	8711	343.843	27	24.392
851968	1996	0000931763-97-000262.txt	10-K	MOHAWK INDUSTRIES	1997-03-07	https://www.sec.gov/Archives/edgar/data/851968/0000931763-97-000262.txt	25119	MOHAWK INDUSTRIES INC	608190104	MHK	12	13514	2273	955.775	21.99999762	34.471
52988	1996	0000898430-96-005938.txt	10-K	JACOBS ENGINEERING GROUP INC	1996-12-27	https://www.sec.gov/Archives/edgar/data/52988/0000898430-96-005938.txt	6216	JACOBS ENGINEERING GROUP INC	469814107	JEC	9	13422	1600	572.505	22.5	25.735
806517	1996	0000950135-97-001568.txt	10-K	PSYCHEMEDICS	1997-03-31	https://www.sec.gov/Archives/edgar/data/806517/0000950135-97-001568.txt	13733	PSYCHEMEDICS CORP	744375205	PMD	12	13514	8071	15.745	6	21.692
874213	1996	0001011243-97-000002.txt	10-K	WISCONSIN CENTRAL TRANSPORTATION	1997-03-21	https://www.sec.gov/Archives/edgar/data/874213/0001011243-97-000002.txt	24069	WISCONSIN CENTRAL TRANSPORTN	976592105	WCLX	12	13514	4011	691.275	39.625	50.779
804328	1996	0000936392-96-001149.txt	10-K	QUALCOMM	1996-12-03	https://www.sec.gov/Archives/edgar/data/804328/0000936392-96-001149.txt	24800	QUALCOMM INC	747525103	QCOM	9	13422	3663	1185.33	42.5	66.535
741815	1996	0000950109-97-002698.txt	10-K405	HOOPER HOLMES	1997-03-31	https://www.sec.gov/Archives/edgar/data/741815/0000950109-97-002698.txt	5697	HOOPER HOLMES INC	439104209	HH	12	13514	8090	61.296	17.375	6.79
753568	1996	0000912057-96-013593.txt	10-K405	EXAR	1996-07-01	https://www.sec.gov/Archives/edgar/data/753568/0000912057-96-013593.txt	4476	EXAR CORP	300645108	EXAR	3	13604	3674	125.537	16.25	9.145
88790	1996	0000088790-97-000004.txt	10-K	SELAS CORP OF	1997-03-24	https://www.sec.gov/Archives/edgar/data/88790/0000088790-97-000004.txt	9590	INTRICON CORP	46121H109	IIN	12	13514	3567	91.162	17.12499762	3.46
1021860	1996	0000950129-97-001003.txt	10-K	NATIONAL OILWELL	1997-03-12	https://www.sec.gov/Archives/edgar/data/1021860/0000950129-97-001003.txt	63892	NATIONAL OILWELL VARCO INC	637071101	NOV	12	13514	5084	266.743	30.75	17.858
793308	1996	0000950134-97-002461.txt	10-K	NEWMONT GOLD	1997-03-31	https://www.sec.gov/Archives/edgar/data/793308/0000950134-97-002461.txt	12342	NEWMONT GOLD CO	651637100	NGC.2	12	13514	1040	2081.074	43.75	109.929
1015298	1996	0000903112-97-000470.txt	10-K	ALYN	1997-03-25	https://www.sec.gov/Archives/edgar/data/1015298/0000903112-97-000470.txt	63832	ALYN CORP	022611107	ALYNQ	12	13514	3290	32.203	10.875	10.75
