formtype	companyname	cik	filingdate	url
10-K	1 800 CONTACTS	1050122	2005-03-17	https://www.sec.gov/Archives/edgar/data/1050122/0001047469-05-006925.txt
10-K	1ST CONSTITUTION	1141807	2005-03-24	https://www.sec.gov/Archives/edgar/data/1141807/0001193125-05-059919.txt
10-K	1ST SOURCE	34782	2005-03-16	https://www.sec.gov/Archives/edgar/data/34782/0000034782-05-000025.txt
10-K	21ST CENTURY HOLDING	1069996	2005-03-31	https://www.sec.gov/Archives/edgar/data/1069996/0001144204-05-009759.txt
10-K	21ST CENTURY INSURANCE	100331	2005-02-17	https://www.sec.gov/Archives/edgar/data/100331/0001015402-05-000854.txt
10-K	24/7 REAL MEDIA	1062195	2005-03-16	https://www.sec.gov/Archives/edgar/data/1062195/0001047469-05-006790.txt
10-K	3D SYSTEMS	910638	2005-03-10	https://www.sec.gov/Archives/edgar/data/910638/0001047469-05-005988.txt
10-K	3M	66740	2005-02-24	https://www.sec.gov/Archives/edgar/data/66740/0001104659-05-008057.txt
10-K	4 KIDS ENTERTAINMENT	58592	2005-03-16	https://www.sec.gov/Archives/edgar/data/58592/0000058592-05-000004.txt
10-K	7 ELEVEN	92344	2005-03-16	https://www.sec.gov/Archives/edgar/data/92344/0001193125-05-052213.txt
10-K	724 SOLUTIONS	1097641	2005-03-18	https://www.sec.gov/Archives/edgar/data/1097641/0001206774-05-000382.txt
10-K	99 CENT STUFF	1176435	2005-03-31	https://www.sec.gov/Archives/edgar/data/1176435/0001116502-05-000579.txt
10-K	@ROAD,	1109537	2005-03-15	https://www.sec.gov/Archives/edgar/data/1109537/0001047469-05-006453.txt
10-K	A CONSULTING TEAM	1040792	2005-03-25	https://www.sec.gov/Archives/edgar/data/1040792/0001125282-05-001571.txt
10-K	A.C. Moore Arts & Crafts,	1042809	2005-03-16	https://www.sec.gov/Archives/edgar/data/1042809/0000950116-05-001035.txt
10-K	A.I. RECEIVABLES TRANSFER	1094412	2005-03-31	https://www.sec.gov/Archives/edgar/data/1094412/0000909518-05-000215.txt
10-K	AAMES INVESTMENT	1282552	2005-03-31	https://www.sec.gov/Archives/edgar/data/1282552/0001193125-05-066826.txt
10-K	AAON	824142	2005-03-16	https://www.sec.gov/Archives/edgar/data/824142/0001026608-05-000013.txt
10-K	AARON RENTS	706688	2005-03-08	https://www.sec.gov/Archives/edgar/data/706688/0001104659-05-009960.txt
10-K	AAVID THERMAL TECHNOLOGIES	1003481	2005-03-28	https://www.sec.gov/Archives/edgar/data/1003481/0000950135-05-001666.txt
10-K	AB HOLDING GROUP,	842289	2005-03-31	https://www.sec.gov/Archives/edgar/data/842289/0001200952-05-000298.txt
10-K	ABATIX	845779	2005-03-28	https://www.sec.gov/Archives/edgar/data/845779/0001275287-05-001077.txt
10-K	ABBOTT	1800	2005-03-02	https://www.sec.gov/Archives/edgar/data/1800/0001047469-05-005185.txt
10-K	ABC	351569	2005-03-16	https://www.sec.gov/Archives/edgar/data/351569/0001193125-05-051291.txt
10-K	ABFC ASSET-BACKED CERTIFICATES SERIES	1278400	2005-03-29	https://www.sec.gov/Archives/edgar/data/1278400/0001056404-05-001436.txt
10-K	ABFC ASSET-BACKED CERTIFICATES SERIES	1285680	2005-03-29	https://www.sec.gov/Archives/edgar/data/1285680/0001056404-05-001437.txt
10-K	ABFC Asset-Backed Certificates, Series	1299114	2005-03-29	https://www.sec.gov/Archives/edgar/data/1299114/0001051170-05-000163.txt
10-K	ABFC Asset-Backed Certificates, Series	1301683	2005-03-31	https://www.sec.gov/Archives/edgar/data/1301683/0001056404-05-001664.txt
10-K	ABGENIX	1052837	2005-03-16	https://www.sec.gov/Archives/edgar/data/1052837/0001047469-05-006618.txt
10-K	ABIGAIL ADAMS NATIONAL BANCORP	356809	2005-03-30	https://www.sec.gov/Archives/edgar/data/356809/0001193125-05-065189.txt
10-K	ABLE LABORATORIES	857171	2005-03-15	https://www.sec.gov/Archives/edgar/data/857171/0001072613-05-000695.txt
10-K	ABLEST	46653	2005-03-07	https://www.sec.gov/Archives/edgar/data/46653/0000950144-05-002176.txt
10-K	ABM INDUSTRIES INC	771497	2005-01-14	https://www.sec.gov/Archives/edgar/data/771497/0000950134-05-000777.txt
10-K	ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER	1221052	2005-03-30	https://www.sec.gov/Archives/edgar/data/1221052/0001277277-05-000394.txt
